"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 15:04:26 GMT 2025","Thu Oct 30 15:04:27 GMT 2025","376","","Allurre_with_Nunit.SwagLabs.ExampleTest","","Allurre_with_Nunit.SwagLabs.ExampleTest","","login",""
"passed","Thu Oct 30 15:04:26 GMT 2025","Thu Oct 30 15:04:27 GMT 2025","375","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
"passed","Thu Oct 30 15:04:25 GMT 2025","Thu Oct 30 15:04:26 GMT 2025","895","","Allurre_with_Nunit.SwagLabs.ExampleTest","","Allurre_with_Nunit.SwagLabs.ExampleTest","","HasTitle",""
"broken","Thu Oct 30 15:04:27 GMT 2025","Thu Oct 30 15:04:32 GMT 2025","5339","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"failed","Thu Oct 30 15:04:27 GMT 2025","Thu Oct 30 15:04:32 GMT 2025","5340","","Allurre_with_Nunit.SwagLabs.ExampleTest","","Allurre_with_Nunit.SwagLabs.ExampleTest","","loginFail",""
"failed","Thu Oct 30 15:04:25 GMT 2025","Thu Oct 30 15:04:31 GMT 2025","5863","","Allurre_with_Nunit.SwagLabs.StateStorageTests","","Allurre_with_Nunit.SwagLabs.StateStorageTests","","login",""
"passed","Thu Oct 30 15:04:25 GMT 2025","Thu Oct 30 15:04:25 GMT 2025","17","","Allurre_with_Nunit.Tests","","Allurre_with_Nunit.Tests","","Test1",""
"broken","Thu Oct 30 15:04:25 GMT 2025","Thu Oct 30 15:04:31 GMT 2025","5852","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Thu Oct 30 15:04:25 GMT 2025","Thu Oct 30 15:04:26 GMT 2025","854","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
